tagId,timestamp,coordinates_x,coordinates_y
27005,1548053247.08,3337,732
28261,1548053247.10,6729,3051
27005,1548053247.12,3337,732
28261,1548053247.14,6729,3038
27005,1548053247.17,3337,734
28261,1548053247.19,6729,3031
27005,1548053247.21,3337,735
28261,1548053247.23,6729,3026
27005,1548053247.25,3337,735
28261,1548053247.27,6729,3009
27005,1548053247.29,3336,737
28261,1548053247.31,6729,2986
27005,1548053247.34,3335,738
28261,1548053247.36,6729,2978
27005,1548053247.38,3335,735
28261,1548053247.40,6729,2938
27005,1548053247.42,3335,735
28261,1548053247.44,6729,2811
27005,1548053247.47,3335,735
28261,1548053247.49,6713,2692
27005,1548053247.51,3335,738
28261,1548053247.53,6713,2613
27005,1548053247.55,3334,735
28261,1548053247.57,6674,2492
27005,1548053247.59,3334,735
28261,1548053247.61,6638,2405
27005,1548053247.63,3333,735
28261,1548053247.65,6618,2370
27005,1548053247.67,3333,735
28261,1548053247.69,6598,2258
27005,1548053247.71,3333,735
28261,1548053247.73,6575,2145
27005,1548053247.75,3332,738
28261,1548053247.77,6558,2121
27005,1548053247.80,3333,738
28261,1548053247.82,6556,2105
27005,1548053247.84,3334,740
28261,1548053247.87,6543,2086
27005,1548053247.89,3334,738
28261,1548053247.91,6527,2079
27005,1548053247.93,3334,738
28261,1548053247.95,6507,2079
27005,1548053247.97,3334,740
28261,1548053247.99,6488,2079
27005,1548053248.02,3335,740
28261,1548053248.04,6483,2079
27005,1548053248.06,3334,740
28261,1548053248.08,6466,2079
27005,1548053248.10,3334,740
28261,1548053248.12,6442,2079
27005,1548053248.14,3334,740
28261,1548053248.16,6420,2079
27005,1548053248.18,3335,740
28261,1548053248.20,6403,2079
27005,1548053248.23,3335,736
28261,1548053248.25,6395,2079
27005,1548053248.27,3336,736
28261,1548053248.29,6381,2086
27005,1548053248.31,3336,733
28261,1548053248.33,6368,2086
27005,1548053248.36,3336,733
28261,1548053248.38,6360,2093
27005,1548053248.40,3336,733
28261,1548053248.42,6339,2104
27005,1548053248.44,3336,732
28261,1548053248.46,6339,2115
27005,1548053248.48,3336,732
28261,1548053248.51,6298,2119
27005,1548053248.53,3336,732
28261,1548053248.55,6298,2121
27005,1548053248.57,3337,732
28261,1548053248.59,6271,2123
27005,1548053248.61,3337,731
28261,1548053248.63,6269,2123
27005,1548053248.65,3337,731
28261,1548053248.67,6256,2130
27005,1548053248.69,3336,731
28261,1548053248.71,6216,2144
27005,1548053248.73,3336,731
28261,1548053248.75,6180,2158
27005,1548053248.77,3336,731
28261,1548053248.79,6132,2158
27005,1548053248.82,3336,732
28261,1548053248.85,6086,2162
27005,1548053248.87,3336,732
28261,1548053248.89,6067,2176
27005,1548053248.91,3336,732
28261,1548053248.93,6051,2193
27005,1548053248.96,3336,732
28261,1548053248.98,6014,2206
27005,1548053249.00,3336,732
28261,1548053249.02,5973,2218
27005,1548053249.04,3336,731
28261,1548053249.06,5955,2229
27005,1548053249.08,3337,731
28261,1548053249.10,5939,2242
27005,1548053249.12,3336,730
28261,1548053249.14,5928,2252
27005,1548053249.16,3336,730
28261,1548053249.18,5919,2258
27005,1548053249.20,3335,731
28261,1548053249.22,5907,2265
27005,1548053249.25,3335,731
28261,1548053249.27,5898,2272
27005,1548053249.29,3335,731
28261,1548053249.31,5880,2274
27005,1548053249.32,3335,731
28261,1548053249.35,5847,2307
27005,1548053249.37,3334,731
28261,1548053249.39,5829,2339
27005,1548053249.41,3334,730
28261,1548053249.43,5821,2347
27005,1548053249.45,3332,728
28261,1548053249.47,5808,2359
27005,1548053249.49,3330,730
28261,1548053249.51,5789,2390
27005,1548053249.53,3330,732
28261,1548053249.55,5776,2418
27005,1548053249.58,3330,732
28261,1548053249.60,5694,2444
27005,1548053249.62,3330,732
28261,1548053249.64,5600,2478
27005,1548053249.66,3329,732
28261,1548053249.69,5584,2490
27005,1548053249.71,3329,736
28261,1548053249.73,5584,2498
27005,1548053249.75,3328,732
28261,1548053249.77,5581,2514
27005,1548053249.80,3327,728
28261,1548053249.82,5563,2552
27005,1548053249.84,3327,726
28261,1548053249.86,5542,2578
27005,1548053249.88,3327,728
28261,1548053249.90,5539,2594
27005,1548053249.92,3328,726
28261,1548053249.94,5537,2620
27005,1548053249.96,3328,725
28261,1548053249.98,5535,2634
27005,1548053250.01,3327,725
28261,1548053250.03,5532,2644
27005,1548053250.05,3328,722
28261,1548053250.07,5532,2658
27005,1548053250.09,3328,722
28261,1548053250.11,5532,2677
27005,1548053250.13,3328,717
28261,1548053250.15,5532,2699
27005,1548053250.17,3329,717
28261,1548053250.19,5532,2712
27005,1548053250.21,3328,722
28261,1548053250.24,5532,2716
27005,1548053250.26,3329,722
28261,1548053250.28,5532,2735
27005,1548053250.30,3329,722
28261,1548053250.32,5532,2758
27005,1548053250.34,3328,717
28261,1548053250.36,5532,2766
27005,1548053250.38,3328,717
28261,1548053250.40,5535,2776
27005,1548053250.42,3328,713
28261,1548053250.44,5559,2776
27005,1548053250.46,3328,713
28261,1548053250.48,5581,2776
27005,1548053250.51,3328,713
28261,1548053250.53,5584,2776
27005,1548053250.55,3328,717
28261,1548053250.57,5595,2776
27005,1548053250.59,3328,713
28261,1548053250.63,5608,2785
27005,1548053250.65,3329,712
28261,1548053250.67,5631,2785
27005,1548053250.69,3330,714
28261,1548053250.71,5656,2788
27005,1548053250.73,3331,714
28261,1548053250.75,5688,2789
27005,1548053250.77,3332,712
28261,1548053250.80,5751,2794
27005,1548053250.82,3333,712
28261,1548053250.84,5836,2799
27005,1548053250.86,3332,712
28261,1548053250.89,5885,2800
27005,1548053250.91,3333,709
28261,1548053250.93,5895,2800
27005,1548053250.95,3333,709
